airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week
LOT,LO646 / LO635,Bucharest Henri Coandă International Airport,Romania,2026-05-17T18:30,1,2026-05-18T01:55,Sofia International Airport,Bulgaria,economy,216,16,3h 50m,OTP,SOF,2026-05-01T21:47:38+0300,evening,night,sunday,monday
Turkish Airlines,TK1046 / TK1029,Bucharest Henri Coandă International Airport,Romania,2026-05-17T21:35,1,2026-05-18T20:15,Sofia International Airport,Bulgaria,economy,238,16,2h 50m,OTP,SOF,2026-05-01T21:47:38+0300,night,evening,sunday,monday
Aegean,A3961 / A3982,Bucharest Henri Coandă International Airport,Romania,2026-05-17T09:55,1,2026-05-17T20:30,Sofia International Airport,Bulgaria,economy,299,16,2h 50m,OTP,SOF,2026-05-01T21:47:38+0300,morning,evening,sunday,sunday
Air Serbia,JU103 / JU116,Bucharest Henri Coandă International Airport,Romania,2026-05-17T16:05,1,2026-05-18T03:00,Sofia International Airport,Bulgaria,economy,324,16,2h 30m,OTP,SOF,2026-05-01T21:47:38+0300,afternoon,night,sunday,monday
Austrian,OS700 / OS771,Bucharest Henri Coandă International Airport,Romania,2026-05-17T06:35,1,2026-05-17T11:40,Sofia International Airport,Bulgaria,economy,327,16,3h 10m,OTP,SOF,2026-05-01T21:47:38+0300,morning,morning,sunday,sunday
Lufthansa,LH1655 / LH1702,Bucharest Henri Coandă International Airport,Romania,2026-05-17T06:15,1,2026-05-17T12:10,Sofia International Airport,Bulgaria,economy,505,16,4h 05m,OTP,SOF,2026-05-01T21:47:38+0300,morning,afternoon,sunday,sunday
Austrian,OS694 / OS775,Bucharest Henri Coandă International Airport,Romania,2026-05-17T13:15,1,2026-05-17T18:10,Sofia International Airport,Bulgaria,economy,668,16,3h 10m,OTP,SOF,2026-05-01T21:47:38+0300,afternoon,evening,sunday,sunday
Air Serbia,JU103 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-05-05T16:05,1,2026-05-06T15:30,Sofia International Airport,Bulgaria,economy,203,4,2h 30m,OTP,SOF,2026-05-01T21:47:40+0300,afternoon,afternoon,tuesday,wednesday
Turkish Airlines,TK1042 / TK1029,Bucharest Henri Coandă International Airport,Romania,2026-05-05T12:55,1,2026-05-05T20:15,Sofia International Airport,Bulgaria,economy,238,4,2h 50m,OTP,SOF,2026-05-01T21:47:40+0300,afternoon,evening,tuesday,tuesday
Turkish Airlines,TK1046 / TK1027,Bucharest Henri Coandă International Airport,Romania,2026-05-05T21:35,1,2026-05-06T08:45,Sofia International Airport,Bulgaria,economy,238,4,2h 45m,OTP,SOF,2026-05-01T21:47:40+0300,night,morning,tuesday,wednesday
Austrian,OS694 / OS775,Bucharest Henri Coandă International Airport,Romania,2026-05-05T13:15,1,2026-05-05T18:10,Sofia International Airport,Bulgaria,economy,252,4,3h 10m,OTP,SOF,2026-05-01T21:47:40+0300,afternoon,evening,tuesday,tuesday
Austrian,OS692 / OS773,Bucharest Henri Coandă International Airport,Romania,2026-05-05T09:50,1,2026-05-05T15:20,Sofia International Airport,Bulgaria,economy,257,4,3h 10m,OTP,SOF,2026-05-01T21:47:40+0300,morning,afternoon,tuesday,tuesday
Turkish Airlines,TK1040 / TK1029,Bucharest Henri Coandă International Airport,Romania,2026-05-05T15:55,1,2026-05-05T20:15,Sofia International Airport,Bulgaria,economy,296,4,2h 50m,OTP,SOF,2026-05-01T21:47:40+0300,afternoon,evening,tuesday,tuesday
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-05-05T18:55,1,2026-05-05T23:55,Sofia International Airport,Bulgaria,economy,300,4,3h 10m,OTP,SOF,2026-05-01T21:47:40+0300,evening,night,tuesday,tuesday
Aegean,A3609 / A3960,Heathrow Airport,United Kingdom,2026-05-31T22:15,1,2026-06-01T09:05,Bucharest Henri Coandă International Airport,Romania,economy,148,30,5h 05m,LHR,OTP,2026-05-01T21:48:27+0300,night,morning,sunday,monday
Lufthansa,LH2471 / LH1652,Heathrow Airport,United Kingdom,2026-05-31T09:00,1,2026-05-31T18:35,Bucharest Henri Coandă International Airport,Romania,economy,246,30,3h 50m,LHR,OTP,2026-05-01T21:48:27+0300,morning,evening,sunday,sunday
Austrian,OS340 / OS693,Heathrow Airport,United Kingdom,2026-05-31T06:00,1,2026-05-31T12:25,Bucharest Henri Coandă International Airport,Romania,economy,256,30,3h 45m,LHR,OTP,2026-05-01T21:48:27+0300,morning,afternoon,sunday,sunday
Lufthansa,LH2473 / LH1652,Heathrow Airport,United Kingdom,2026-05-31T10:50,1,2026-05-31T18:35,Bucharest Henri Coandă International Airport,Romania,economy,285,30,3h 55m,LHR,OTP,2026-05-01T21:48:27+0300,morning,evening,sunday,sunday
British Airways,BA874,Heathrow Airport,United Kingdom,2026-05-31T08:40,0,2026-05-31T14:00,Bucharest Henri Coandă International Airport,Romania,economy,346,30,3h 20m,LHR,OTP,2026-05-01T21:48:27+0300,morning,afternoon,sunday,sunday
LOT,LO382 / LO645,Frankfurt Airport,Germany,2026-05-17T10:40,1,2026-05-17T17:45,Bucharest Henri Coandă International Airport,Romania,economy,171,16,3h 45m,FRA,OTP,2026-05-01T21:49:24+0300,morning,evening,sunday,sunday
Air Serbia,JU353 / JU106,Frankfurt Airport,Germany,2026-05-17T20:20,1,2026-05-18T03:05,Bucharest Henri Coandă International Airport,Romania,economy,188,16,3h 25m,FRA,OTP,2026-05-01T21:49:24+0300,evening,night,sunday,monday
AJet,VF524 / VF595,Frankfurt Airport,Germany,2026-05-17T17:45,1,2026-05-18T19:05,Bucharest Henri Coandă International Airport,Romania,economy,194,16,4h 50m,FRA,OTP,2026-05-01T21:49:24+0300,evening,evening,sunday,monday
TAROM,RO306,Frankfurt Airport,Germany,2026-05-17T19:25,0,2026-05-17T22:50,Bucharest Henri Coandă International Airport,Romania,economy,201,16,2h 25m,FRA,OTP,2026-05-01T21:49:24+0300,evening,night,sunday,sunday
Lufthansa,LH94 / LH1650,Frankfurt Airport,Germany,2026-05-17T07:15,1,2026-05-17T12:00,Bucharest Henri Coandă International Airport,Romania,economy,278,16,2h 55m,FRA,OTP,2026-05-01T21:49:24+0300,morning,afternoon,sunday,sunday
Austrian,OS218 / OS693,Frankfurt Airport,Germany,2026-05-17T06:40,1,2026-05-17T12:25,Bucharest Henri Coandă International Airport,Romania,economy,282,16,3h 00m,FRA,OTP,2026-05-01T21:49:24+0300,morning,afternoon,sunday,sunday
