airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week,duration_minutes,route,country_pair,is_nonstop
Austrian,OS698 / OS703,Bucharest Henri Coandă International Airport,Romania,2026-05-27 18:55:00,1,2026-05-28 15:20:00,Iași Airport,Romania,economy,347,26,3h 10m,OTP,IAS,2026-05-02 01:13:02+03:00,evening,afternoon,wednesday,thursday,190,OTP -> IAS,Romania -> Romania,False
KLM,KL1374 / KL1621,Bucharest Henri Coandă International Airport,Romania,2026-05-27 14:00:00,1,2026-05-27 22:50:00,Milan Linate Airport,Italy,economy,135,26,4h 35m,OTP,LIN,2026-05-02 01:13:03+03:00,afternoon,night,wednesday,wednesday,275,OTP -> LIN,Romania -> Italy,False
Lufthansa,LH1655 / LH1852,Bucharest Henri Coandă International Airport,Romania,2026-05-27 06:15:00,1,2026-05-27 13:00:00,Milan Linate Airport,Italy,economy,228,26,3h 15m,OTP,LIN,2026-05-02 01:13:03+03:00,morning,afternoon,wednesday,wednesday,195,OTP -> LIN,Romania -> Italy,False
Lufthansa,LH1417 / LH280,Bucharest Henri Coandă International Airport,Romania,2026-05-27 17:15:00,1,2026-05-27 22:15:00,Milan Linate Airport,Italy,economy,233,26,3h 50m,OTP,LIN,2026-05-02 01:13:03+03:00,evening,night,wednesday,wednesday,230,OTP -> LIN,Romania -> Italy,False
KLM,KL1372 / KL1615,Bucharest Henri Coandă International Airport,Romania,2026-05-27 07:05:00,1,2026-05-27 12:00:00,Milan Linate Airport,Italy,economy,285,26,4h 30m,OTP,LIN,2026-05-02 01:13:03+03:00,morning,afternoon,wednesday,wednesday,270,OTP -> LIN,Romania -> Italy,False
Air Serbia,JU243 / JU106,Paris Charles de Gaulle Airport,France,2026-06-18 20:35:00,1,2026-06-19 03:05:00,Bucharest Henri Coandă International Airport,Romania,economy,134,48,3h 50m,CDG,OTP,2026-05-02 01:13:24+03:00,evening,night,thursday,friday,230,CDG -> OTP,France -> Romania,False
KLM,KL1404 / KL1375,Paris Charles de Gaulle Airport,France,2026-06-18 09:40:00,1,2026-06-18 17:20:00,Bucharest Henri Coandă International Airport,Romania,economy,135,48,4h 00m,CDG,OTP,2026-05-02 01:13:24+03:00,morning,evening,thursday,thursday,240,CDG -> OTP,France -> Romania,False
LOT,LO334 / LO641,Paris Charles de Gaulle Airport,France,2026-06-18 07:05:00,1,2026-06-18 13:50:00,Bucharest Henri Coandă International Airport,Romania,economy,152,48,4h 10m,CDG,OTP,2026-05-02 01:13:24+03:00,morning,afternoon,thursday,thursday,250,CDG -> OTP,France -> Romania,False
LOT,LO332 / LO645,Paris Charles de Gaulle Airport,France,2026-06-18 10:45:00,1,2026-06-18 17:45:00,Bucharest Henri Coandă International Airport,Romania,economy,164,48,4h 20m,CDG,OTP,2026-05-02 01:13:24+03:00,morning,evening,thursday,thursday,260,CDG -> OTP,France -> Romania,False
SWISS,LX645 / LX1886,Paris Charles de Gaulle Airport,France,2026-06-18 19:40:00,1,2026-06-19 01:10:00,Bucharest Henri Coandă International Airport,Romania,economy,198,48,3h 40m,CDG,OTP,2026-05-02 01:13:24+03:00,evening,night,thursday,friday,220,CDG -> OTP,France -> Romania,False
Austrian,OS370 / OS693,Paris Charles de Gaulle Airport,France,2026-06-18 07:05:00,1,2026-06-18 12:25:00,Bucharest Henri Coandă International Airport,Romania,economy,199,48,3h 30m,CDG,OTP,2026-05-02 01:13:24+03:00,morning,afternoon,thursday,thursday,210,CDG -> OTP,France -> Romania,False
TAROM,RO384,Paris Charles de Gaulle Airport,France,2026-06-18 19:45:00,0,2026-06-18 23:35:00,Bucharest Henri Coandă International Airport,Romania,economy,270,48,2h 50m,CDG,OTP,2026-05-02 01:13:24+03:00,evening,night,thursday,thursday,170,CDG -> OTP,France -> Romania,True
Austrian,OS362 / OS695,Paris Charles de Gaulle Airport,France,2026-06-18 09:55:00,1,2026-06-18 15:10:00,Bucharest Henri Coandă International Airport,Romania,economy,290,48,3h 30m,CDG,OTP,2026-05-02 01:13:24+03:00,morning,afternoon,thursday,thursday,210,CDG -> OTP,France -> Romania,False
Air France,AF1088,Paris Charles de Gaulle Airport,France,2026-06-18 19:35:00,0,2026-06-18 23:25:00,Bucharest Henri Coandă International Airport,Romania,economy,311,48,2h 50m,CDG,OTP,2026-05-02 01:13:24+03:00,evening,night,thursday,thursday,170,CDG -> OTP,France -> Romania,True
Austrian,OS558 / OS703,Leonardo da Vinci International Airport,Italy,2026-05-12 21:30:00,1,2026-05-13 15:20:00,Iași Airport,Romania,economy,338,11,3h 05m,FCO,IAS,2026-05-02 01:13:26+03:00,night,afternoon,tuesday,wednesday,185,FCO -> IAS,Italy -> Romania,False
Lufthansa,LH1673 / LH1650,"Cluj ""Avram Iancu"" International Airport",Romania,2026-06-15 06:00:00,1,2026-06-15 12:00:00,Bucharest Henri Coandă International Airport,Romania,economy,171,45,3h 45m,CLJ,OTP,2026-05-02 01:13:29+03:00,morning,afternoon,monday,monday,225,CLJ -> OTP,Romania -> Romania,False
